SKU#;Part#;Manufacturer name;MFG Part#;UPC;Weight(lb.);Avail;MSRP;M.A.P;Normal;Promotion;Short Description;Long Description;
9747285;MST-Y7N-00001-3YR-ADP-SCR;MICROSOFT CORP;Y7N-00001-3YR-ADP-SCR;null;0;2088669;;;$2,357.23;$2,357.23;Pro 10 Ultra5/32GB/1TB TAA 3YR ADP SCR bundle;Pro 10 Ultra5/32GB/1TB TAA 3YR ADP SCR bundle;
9747286;MST-Y7N-00001-4YR-ADP-SCR;MICROSOFT CORP;Y7N-00001-4YR-ADP-SCR;null;0;2088669;;;$2,447.03;$2,447.03;Pro 10 Ultra5/32GB/1TB TAA 4YR ADP SCR bundle;Pro 10 Ultra5/32GB/1TB TAA 4YR ADP SCR bundle;
6215581;MST-9S7-17E912-446;MICROSOFT CORP;9S7-17E912-446;824142225912        ;7.35;1;;;$0.00;$0.00;wrong part, set up for receive;wrong part, set up for receive;
9188687;MST-ZLB-00026;MICROSOFT CORP;ZLB-00026;196388270408        ;5.65;4;$1,399.99;;$1,281.60;$1,183.60;MST Surface Laptop 6 15inI5/8/256 S Platinum;Microsoft Surface Laptop 6 15in Ultra5/8/256 CM SC English Platinum US/Canada 1 License;
9747287;MST-Y7N-00001-5YR-ADP-SCR;MICROSOFT CORP;Y7N-00001-5YR-ADP-SCR;null;0;2088669;;;$2,580.13;$2,580.13;Pro 10 Ultra5/32GB/1TB TAA 5YR ADP SCR bundle;Pro 10 Ultra5/32GB/1TB TAA 5YR ADP SCR bundle;
14412573;MST-EP2-20049;MICROSOFT CORP;EP2-20049;196388444366        ;3.45;418;$2,299.99;;$2,058.18;$1,943.18;Pro 11 13in Intel CU7/32/512 CM SC Platinum;Microsoft Pro 11 13in Intel CU7/32/512 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
9747282;MST-Y7N-00001-3YR-SCR;MICROSOFT CORP;Y7N-00001-3YR-SCR;null;0;2088660;;;$2,305.80;$2,305.80; Pro 10 Ultra5/32GB/1TB TAA 3YR SCR bundle; Surface Pro 10 Ultra5/32GB/1TB TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
14412572;MST-EP2-20032;MICROSOFT CORP;EP2-20032;196388444205        ;1.85;273;$2,099.99;;$1,879.20;$1,774.20;Pro 11 13in Intel CU7/32/256 CM SC Platinum;Microsoft Pro 11 13in Intel CU7/32/256 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
9747283;MST-Y7N-00001-4YR-SCR;MICROSOFT CORP;Y7N-00001-4YR-SCR;null;0;2088660;;;$2,344.17;$2,344.17;Pro 10 Ultra5/32GB/1TB TAA 4YR SCR bundle;Pro 10 Ultra5/32GB/1TB TAA 4YR SCR bundle;
9188673;MST-ZJY-00001;MICROSOFT CORP;ZJY-00001;196388339303        ;4.6;34;$1,999.99;;$1,789.72;$1,649.72;MST Surface Laptop 6 13inI7/32/256 Black;Microsoft Surface Laptop 6 13in Ultra7/32/256 CM SC English Black US/Canada 1 License;
14412564;MST-EP2-33240;MICROSOFT CORP;EP2-33240;196388546282        ;5.88;376;$2,399.99;;$2,151.95;$2,031.95;MST Surface Laptop 7 15in Intel CU7/32/512 CM Win11 Black;Microsoft Surface Laptop 7 15in Intel  CU7/32/512 CM SC English Win11 Black United States 1 License;
9188701;MST-ZDY-00001;MICROSOFT CORP;ZDY-00001;196388258222        ;3.3;1189;$2,399.99;;$2,147.66;$1,979.66;Pro 10 I7/32/1TB Platinum;Microsoft Surface Pro 10 Ultra7/32/1TB CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
9188702;MST-ZJV-00026;MICROSOFT CORP;ZJV-00026;196388272594        ;4.75;207;$1,699.99;;$1,521.26;$1,402.26;MST Surface Laptop 6 13inI7/16/256 Platinum;Microsoft Surface Laptop 6 13in Ultra7/16/256 CM SC English Platinum US/Canada 1 License;
9188703;MST-ZLH-00001;MICROSOFT CORP;ZLH-00001;196388269686        ;5.7;1;$1,799.99;;$1,647.77;$1,521.77;MST Surface Laptop 6 15inI5/16/512 Black;Microsoft Surface Laptop 6 15in Ultra5/16/512 CM SC English Black US/Canada 1 License;
14206220;MST-EP2-26312;MICROSOFT CORP;EP2-26312;196388493944        ;3.3;133;$2,299.99;$2,299.99;$2,060.28;$1,945.28;MST Surface Pro10 5G Ultra 7/32/256 Platinum;Microsoft Surface Pro10 5G 13in Intel Core Ultra7/32/256 Windows 11 Platinum;
6342582;MSF-P71-09389;MICROSOFT;P71-09389;889842768961        ;0.15;4;;;$5,000.43;$5,000.43;WINDOWS SVR DATACNTR 2022 64BIT ENGLISH 1PK DSP OEI DVD 16 CORE;Windows Svr Datacntr 2022 64Bit English 1pk DSP OEI DVD 16 Core;
9188698;MST-ZDT-00019;MICROSOFT CORP;ZDT-00019;196388256693        ;3.25;328;$1,499.99;;$1,373.14;$1,268.14;Pro 10 I5/16/256 Black;Microsoft Surface Pro 10 Ultra5/16/256 CM SC English,Canadian French,Spanish Black US/Canada 1 License;
14412547;MST-EP2-33238;MICROSOFT CORP;EP2-33238;196388546268        ;5.88;1345;$1,999.99;;$1,793.29;$1,693.29;MST Surface Laptop 7 15in Intel CU7/16/512 CM Win11 Black;Microsoft Surface Laptop 7 15in Intel  CU7/16/512 CM SC English Win11 Black United States 1 License;
9188695;MST-J41-00001;MICROSOFT CORP;J41-00001;196388336913        ;0.3;9;$69.99;;$61.68;$61.68;Microsoft Adaptive Mouse Commercial Black;Microsoft Adaptive Mouse Commercial Black;
6342588;MSF-P73-08328;MICROSOFT;P73-08328;889842769883        ;0.15;66;;;$821.29;$821.29;WINDOWS SVR STD 2022 64BIT ENGLISH 1PK DSP OEI DVD 16 CORE;Windows Svr Std 2022 64Bit English 1pk DSP OEI DVD 16 Core;
9188688;MST-ZJT-00026;MICROSOFT CORP;ZJT-00026;196388271399        ;4.75;22;$1,999.99;;$1,830.86;$1,690.86;MST Surface Laptop 6 13inI5/32/512 Platinum;Microsoft Surface Laptop 6 13in Ultra5/32/512 CM SC English Platinum US/Canada 1 License;
8890713;MST-TIF-00001;MICROSOFT CORP;TIF-00001;196388118687        ;0.2;3;$139.99;;$122.40;$122.40;SfcPro9 rSSD 512GB CRU WW Commercial;SfcPro9 rSSD 512GB CRU WW Commercial;
9188690;MST-ZJS-00001;MICROSOFT CORP;ZJS-00001;196388338177        ;4.7;97;$1,799.99;;$1,647.77;$1,521.77;MST Surface Laptop 6 13inI5/32/256 Black;Microsoft Surface Laptop 6 13in Ultra5/32/256 CM SC English Black US/Canada 1 License;
6370238;MSF-HZV-00102;MICROSOFT;HZV-00102;889842906295        ;0.1;7;;;$241.26;$241.26;Win 11 Pro for Wrkstns 64Bit English 1pk DSP OEI DVD;Win 11 Pro for Wrkstns 64Bit English 1pk DSP OEI DVD;
4750248;MST-3YR-00001;MICROSOFT CORP;3YR-00001;889842122473        ;0.55;334;$59.99;;$46.67;$46.67;Surface Mouse Commer SC Bluetooth;Microsoft Surface Mouse Commer SC Bluetooth EN/XD/XX GRAY 1 License;
9188712;MST-Y6B-00001;MICROSOFT CORP;Y6B-00001;196388258055        ;3.3;1154;$2,199.99;;$1,968.69;$1,814.69;Pro 10 I7/32/512 Platinum;Microsoft Surface Pro 10 Ultra7/32/512 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
9188709;MST-8XB-00139;MICROSOFT CORP;8XB-00139;196388356454        ;0.95;2652;$179.99;;$130.62;$130.62;Microsoft Surface Pro Keyboard with Pen Storage Commercial Black;Microsoft Surface black pro keyboard with pen storage. Attaches magnetically and features a Microsoft Copilot key and integrated shortcut keys. Compatibility: Surface Pro 10 for Business, Surface Pro 9, Surface Pro 8. Pen not included. Order 8WX-00001 Surface Slim Pen 2 separately.;
9188710;MST-8XB-00186;MICROSOFT CORP;8XB-00186;196388357932        ;0.95;990;$179.99;;$130.62;$130.62;Micsoft Surface Pro Keyboard w/PenStor Commercial Platinum;Micsoft Surface Pro Keyboard w/PenStor Commercial Platinum;
9353570;MST-ZSF-00001;MICROSOFT CORP;ZSF-00001;196388294862        ;5.7;9;$2,499.99;;$2,239.43;$2,114.43;TAA  MST Surface Laptop 6 15inI7/32/512  Black;Microsoft Surface Laptop 6 15in Ultra7/32/512 CM TAA SC English Black US/Canada 1 License;
9188706;MST-ZJQ-00026;MICROSOFT CORP;ZJQ-00026;196388268146        ;4.7;150;$1,499.99;;$1,373.14;$1,268.14;MST Surface Laptop 6 13inI5/16/256 Platinum;Microsoft Surface Laptop 6 13in Ultra5/16/256 CM SC English Platinum US/Canada 1 License;
6337423;MST-T5D-03518;MICROSOFT RETAIL;T5D-03518;889842853070        ;0.1;2;$249.99;;$220.36;$220.36;OFFICE HOME AND BUSINESS 2021 FPP;Office Home and Business 2021 FPP;
9188707;MST-ZLT-00001;MICROSOFT CORP;ZLT-00001;196388275984        ;5.69;404;$2,399.99;;$2,147.66;$1,979.66;MST Surface Laptop 6 15inI7/32/512 Black;Microsoft Surface Laptop 6 15in Ultra7/32/512 CM SC English Black US/Canada 1 License;
9747303;MST-Y8A-00001-5YR-ADP-SCR;MICROSOFT CORP;Y8A-00001-5YR-ADP-SCR;null;2.32;2100650;;;$2,918.44;$2,918.44;Pro 10 Ultra7/64GB/1TB TAA 5YR ADP SCR bundle;Surface Pro 10 Ultra7/64GB/1TB TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
9747308;MST-Y6X-00001-4YR-ADP-SCR;MICROSOFT CORP;Y6X-00001-4YR-ADP-SCR;null;;2100650;;;$2,108.72;$2,108.72;Pro 10 Ultra7/16GB/1TB TAA 4YR ADP SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 4YR ADP ITG warranty and Smart Card Reader integration;
9747309;MST-Y6X-00001-5YR-ADP-SCR;MICROSOFT CORP;Y6X-00001-5YR-ADP-SCR;null;;2100650;;;$2,241.82;$2,241.82;Pro 10 Ultra7/16GB/1TB TAA 5YR ADP SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
9747304;MST-Y6X-00001-3YR-SCR;MICROSOFT CORP;Y6X-00001-3YR-SCR;null;;2100641;;;$1,967.49;$1,967.49;Pro 10 Ultra7/16GB/1TB TAA 3YR SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
9747305;MST-Y6X-00001-4YR-SCR;MICROSOFT CORP;Y6X-00001-4YR-SCR;null;;2100641;;;$2,005.86;$2,005.86;Pro 10 Ultra7/16GB/1TB TAA 4YR SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
9747306;MST-Y6X-00001-5YR-SCR;MICROSOFT CORP;Y6X-00001-5YR-SCR;null;;2100641;;;$2,138.96;$2,138.96;Pro 10 Ultra7/16GB/1TB TAA 5YR SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 5YR ITG warranty and Smart Card reader integration;
9747307;MST-Y6X-00001-3YR-ADP-SCR;MICROSOFT CORP;Y6X-00001-3YR-ADP-SCR;null;;2100650;;;$2,018.92;$2,018.92;Pro 10 Ultra7/16GB/1TB TAA 3YR ADP SCR bundle;Surface Pro 10 Ultra7/16GB/1TB TAA Platinum with 3YR ADP ITG warranty and Smart Card Reader integration;
